pt_date;pd_segment;tenor;odr_loan
10/31/2023;Digital_APL;3;0
10/31/2023;Digital_EAL;2;0
10/31/2023;Digital_KPL;119;0
10/31/2023;Digital_KPL;35;0
10/31/2023;Digital_KPL;70;0
10/31/2023;Digital_SCL;3;0.03161934
10/31/2023;Digital_AKL;3;0.000109981
10/31/2023;Digital_KPL;156;0
10/31/2023;Digital_EML;36;0
10/31/2023;Digital_SPL;6;0.065982283
10/31/2023;Digital_KPL;32;0
10/31/2023;Digital_KPL;164;0
10/31/2023;Digital_EML;23;0
10/31/2023;Digital_KPL;17;0
10/31/2023;Digital_KPL;98;0
10/31/2023;Digital_SCL;12;0.107869459
10/31/2023;Digital_KPL;91;0
10/31/2023;Digital_KPL;56;0
10/31/2023;Digital_KPL;166;0
10/31/2023;Digital_AKL;1;0
10/31/2023;Digital_KPL;180;0
10/31/2023;Digital_KPL;31;0
10/31/2023;Digital_KPL;46;0
10/31/2023;Digital_RCL;4;0.000203915
10/31/2023;Digital_KPL;130;0
10/31/2023;Digital_KPL;42;0
10/31/2023;Digital_KPL;44;0
10/31/2023;Digital_EML;26;0
10/31/2023;Digital_EML;28;0
10/31/2023;Digital_KPL;97;0
10/31/2023;Digital_KPL;43;0
10/31/2023;Digital_KPL;117;0
10/31/2023;Digital_KPL;68;0
10/31/2023;Digital_KPL;75;0
10/31/2023;Digital_KPL;83;0
10/31/2023;Digital_KPL;26;0
10/31/2023;Digital_KPL;178;0
10/31/2023;Digital_KPL;45;0
10/31/2023;Digital_KPL;165;0
10/31/2023;Digital_KPL;103;0
11/30/2023;Digital_EML;21;0
11/30/2023;Digital_KPL;21;0
11/30/2023;Digital_RCL;2;1.20E-05
11/30/2023;Digital_SCL;3;0.033810348
11/30/2023;Digital_KPL;32;0
11/30/2023;Digital_KPL;31;0
11/30/2023;Digital_KPL;101;0
11/30/2023;Digital_KPL;74;0
11/30/2023;Digital_KPL;53;0
11/30/2023;Digital_BCL;6;0.089539328
11/30/2023;Digital_PYL;6;0
11/30/2023;Digital_SPL;3;0.043473624
11/30/2023;Digital_KPL;56;0
11/30/2023;Digital_KPL;130;0
11/30/2023;Digital_KPL;83;0
11/30/2023;Digital_PYL;12;0
11/30/2023;Digital_KPL;79;0
11/30/2023;Digital_KPL;165;0
11/30/2023;Digital_KPL;18;0
11/30/2023;Digital_KPL;75;0
11/30/2023;Digital_EML;23;0
11/30/2023;Digital_KPL;177;0
11/30/2023;Digital_KPL;58;0
11/30/2023;Digital_UDL;3;0
11/30/2023;Digital_KPL;166;0
11/30/2023;Digital_KPL;61;0
11/30/2023;Digital_EML;26;0
11/30/2023;Digital_KPL;120;0
11/30/2023;Digital_KPL;164;0
11/30/2023;Digital_KPL;141;0
11/30/2023;Digital_KPL;119;0
11/30/2023;Digital_KPL;100;0
11/30/2023;Digital_KPL;71;0
11/30/2023;Digital_KPL;80;0
11/30/2023;Digital_PYL;24;0
11/30/2023;Digital_KPL;109;0
11/30/2023;Digital_EML;48;0
11/30/2023;Digital_KPL;22;0
11/30/2023;Digital_KPL;143;0
11/30/2023;Digital_KPL;132;0
11/30/2023;Digital_KPL;105;0
11/30/2023;Digital_KPL;36;0
11/30/2023;Digital_KPL;29;0
11/30/2023;Digital_KPL;179;0
11/30/2023;Digital_BCL;12;0.10526634
11/30/2023;Digital_KPL;14;0
11/30/2023;Digital_EAL;9;0.000104712
11/30/2023;Digital_SCL;6;0.068711656
11/30/2023;Digital_KPL;44;0
11/30/2023;Digital_KPL;174;0
11/30/2023;Digital_AKL;6;0.001143501
11/30/2023;Digital_KPL;46;0
11/30/2023;Digital_KPL;81;0
11/30/2023;Digital_SPL;12;0.071620917
11/30/2023;Digital_KPL;99;0
11/30/2023;Digital_KPL;115;0
11/30/2023;Digital_KPL;102;0
11/30/2023;Digital_SPL;1;0.051756366
11/30/2023;Digital_SPL;6;0.065485409
11/30/2023;Digital_KPL;98;0
11/30/2023;Digital_KPL;33;0
11/30/2023;Digital_KPL;54;0
11/30/2023;Digital_EAL;4;8.95E-05
11/30/2023;Digital_KPL;178;0
11/30/2023;Digital_KPL;154;0
11/30/2023;Digital_KPL;82;0
11/30/2023;Digital_KPL;144;0
11/30/2023;Digital_KPL;108;0
11/30/2023;Digital_KPL;94;0
11/30/2023;Digital_KPL;35;0
9/30/2023;Digital_BCL;6;0.088392893
9/30/2023;Digital_KPL;37;0
9/30/2023;Digital_SPL;1;0.043202713
9/30/2023;Digital_KPL;109;0
9/30/2023;Digital_KPL;34;0
9/30/2023;Digital_AKL;3;0.000103107
9/30/2023;Digital_KPL;154;0
9/30/2023;Digital_KPL;165;0
9/30/2023;Digital_KPL;75;0
9/30/2023;Digital_EML;29;0
9/30/2023;Digital_SPL;3;0.044285516
9/30/2023;Digital_KPL;156;0
9/30/2023;Digital_KPL;14;0
9/30/2023;Digital_KPL;25;0
9/30/2023;Digital_SPL;12;0.076490514
9/30/2023;Digital_KPL;119;0
9/30/2023;Digital_KPL;86;0
9/30/2023;Digital_KPL;42;0
9/30/2023;Digital_KPL;99;0
9/30/2023;Digital_KPL;108;0
9/30/2023;Digital_KPL;132;0
9/30/2023;Digital_KPL;46;0
9/30/2023;Digital_KPL;174;0
9/30/2023;Digital_KPL;84;0
9/30/2023;Digital_KPL;143;0
9/30/2023;Digital_KPL;43;0
9/30/2023;Digital_KPL;97;0
9/30/2023;Digital_KPL;50;0
9/30/2023;Digital_KPL;31;0
9/30/2023;Digital_KPL;179;0
9/30/2023;Digital_KPL;94;0
9/30/2023;Digital_KPL;115;0
9/30/2023;Digital_KPL;81;0
9/30/2023;Digital_KPL;176;0
9/30/2023;Digital_UDL;6;0
9/30/2023;Digital_UDL;12;0
11/30/2023;Digital_BCL;3;0.059743405
11/30/2023;Digital_KPL;85;0
11/30/2023;Digital_EML;28;0
11/30/2023;Digital_KPL;72;0
11/30/2023;Digital_KPL;128;0
11/30/2023;Digital_PYL;3;0
11/30/2023;Digital_SCL;12;0.126172427
11/30/2023;Digital_AKL;3;0
11/30/2023;Digital_KPL;118;0
11/30/2023;Digital_KPL;45;0
11/30/2023;Digital_KPL;68;0
11/30/2023;Digital_KPL;34;0
11/30/2023;Digital_AKL;1;0
11/30/2023;Digital_KPL;93;0
11/30/2023;Digital_KPL;42;0
11/30/2023;Digital_KPL;97;0
11/30/2023;Digital_KPL;175;0
11/30/2023;Digital_KPL;152;0
11/30/2023;Digital_KPL;153;0
11/30/2023;Digital_KPL;140;0
11/30/2023;Digital_KPL;70;0
11/30/2023;Digital_SPL;18;0.019747731
11/30/2023;Digital_EAL;6;0.000330195
11/30/2023;Digital_KPL;25;0
11/30/2023;Digital_EML;29;0
11/30/2023;Digital_KPL;139;0
11/30/2023;Digital_UDL;12;0
11/30/2023;Digital_KPL;116;0
11/30/2023;Digital_KPL;30;0
11/30/2023;Digital_EML;25;0
11/30/2023;Digital_KPL;12;0
11/30/2023;Digital_KPL;60;0
11/30/2023;Digital_EML;12;0
11/30/2023;Digital_KPL;57;0
11/30/2023;Digital_KPL;65;0
11/30/2023;Digital_KPL;38;0
11/30/2023;Digital_KPL;50;0
11/30/2023;Digital_EML;24;0
11/30/2023;Digital_KPL;23;0
11/30/2023;Digital_KPL;84;0
11/30/2023;Digital_KPL;19;0
11/30/2023;Digital_KPL;24;0
11/30/2023;Digital_KPL;37;0
10/31/2023;Digital_RCL;2;0
10/31/2023;Digital_KPL;153;0
10/31/2023;Digital_EAL;6;0.000268251
10/31/2023;Digital_EML;48;0
10/31/2023;Digital_AKL;6;0.00166561
10/31/2023;Digital_EAL;4;2.42E-05
10/31/2023;Digital_BCL;3;0.05621514
10/31/2023;Digital_KPL;85;0
10/31/2023;Digital_KPL;30;0
10/31/2023;Digital_EML;60;0
10/31/2023;Digital_KPL;128;0
10/31/2023;Digital_BCL;12;0.107088244
10/31/2023;Digital_KPL;36;0
10/31/2023;Digital_KPL;65;0
10/31/2023;Digital_PYL;24;0.018181818
10/31/2023;Digital_KPL;74;0
10/31/2023;Digital_KPL;58;0
10/31/2023;Digital_KPL;60;0
10/31/2023;Digital_KPL;49;0
10/31/2023;Digital_EML;25;0
10/31/2023;Digital_KPL;132;0
10/31/2023;Digital_KPL;86;0
10/31/2023;Digital_KPL;179;0
10/31/2023;Digital_KPL;29;0
10/31/2023;Digital_KPL;101;0
10/31/2023;Digital_KPL;84;0
10/31/2023;Digital_PYL;6;0
10/31/2023;Digital_KPL;140;0
10/31/2023;Digital_KPL;18;0
10/31/2023;Digital_EML;24;0
10/31/2023;Digital_UDL;3;0
10/31/2023;Digital_EML;16;0
10/31/2023;Digital_KPL;25;0
10/31/2023;Digital_KPL;20;0
10/31/2023;Digital_KPL;33;0
10/31/2023;Digital_KPL;38;0
10/31/2023;Digital_SCL;6;0.064048059
10/31/2023;Digital_KPL;54;0
10/31/2023;Digital_EML;12;0
10/31/2023;Digital_KPL;47;0
10/31/2023;Digital_AKL;2;0
10/31/2023;Digital_KPL;53;0
10/31/2023;Digital_SPL;18;0.013309353
10/31/2023;Digital_SPL;24;0.025485329
10/31/2023;Digital_RCL;3;3.34E-05
10/31/2023;Digital_KPL;94;0
10/31/2023;Digital_SPL;1;0.04374281
10/31/2023;Digital_UDL;12;0
10/31/2023;Digital_EML;29;0
10/31/2023;Digital_KPL;104;0
10/31/2023;Digital_KPL;175;0
10/31/2023;Digital_KPL;21;0
10/31/2023;Digital_KPL;142;0
10/31/2023;Digital_KPL;79;0
10/31/2023;Digital_KPL;19;0
10/31/2023;Digital_KPL;176;0
10/31/2023;Digital_KPL;174;0
10/31/2023;Digital_KPL;61;0
10/31/2023;Digital_KPL;82;0
10/31/2023;Digital_KPL;72;0
10/31/2023;Digital_KPL;48;0
10/31/2023;Digital_KPL;69;0
10/31/2023;Digital_UDL;6;0
10/31/2023;Digital_KPL;120;0
10/31/2023;Digital_KPL;154;0
10/31/2023;Digital_KPL;95;0
10/31/2023;Digital_KPL;96;0
10/31/2023;Digital_KPL;59;0
10/31/2023;Digital_KPL;102;0
11/30/2023;Digital_AKL;9;0.002229055
11/30/2023;Digital_AKL;2;0
11/30/2023;Digital_APL;3;0.000326397
11/30/2023;Digital_KPL;180;0
11/30/2023;Digital_KPL;86;0
11/30/2023;Digital_KPL;142;0
11/30/2023;Digital_KPL;59;0
11/30/2023;Digital_KPL;47;0
11/30/2023;Digital_KPL;96;0
11/30/2023;Digital_KPL;55;0
11/30/2023;Digital_EML;16;0
11/30/2023;Digital_SPL;24;0.035600677
11/30/2023;Digital_RCL;4;0.000276116
11/30/2023;Digital_PYL;18;0
11/30/2023;Digital_KPL;104;0
11/30/2023;Digital_RCL;3;8.21E-05
11/30/2023;Digital_KPL;20;0
11/30/2023;Digital_EAL;2;0
11/30/2023;Digital_KPL;117;0
11/30/2023;Digital_RCL;1;0
11/30/2023;Digital_KPL;62;0
11/30/2023;Digital_KPL;13;0
11/30/2023;Digital_UDL;6;0
11/30/2023;Digital_KPL;95;0
11/30/2023;Digital_KPL;43;0
11/30/2023;Digital_EML;36;0
11/30/2023;Digital_KPL;103;0
11/30/2023;Digital_KPL;156;0
11/30/2023;Digital_KPL;26;0
11/30/2023;Digital_KPL;91;0
11/30/2023;Digital_KPL;67;0
11/30/2023;Digital_KPL;17;0
11/30/2023;Digital_KPL;48;0
11/30/2023;Digital_KPL;69;0
10/31/2023;Digital_KPL;12;0
10/31/2023;Digital_SPL;3;0.042275653
10/31/2023;Digital_KPL;141;0
10/31/2023;Digital_KPL;81;0
10/31/2023;Digital_KPL;99;0
10/31/2023;Digital_PYL;12;0
10/31/2023;Digital_KPL;14;0
10/31/2023;Digital_BCL;6;0.085057676
10/31/2023;Digital_KPL;34;0
10/31/2023;Digital_KPL;144;0
10/31/2023;Digital_KPL;13;0
10/31/2023;Digital_PYL;18;0
10/31/2023;Digital_KPL;177;0
10/31/2023;Digital_SPL;12;0.074370223
10/31/2023;Digital_KPL;116;0
10/31/2023;Digital_AKL;9;0.001922508
10/31/2023;Digital_KPL;139;0
10/31/2023;Digital_EML;21;0
10/31/2023;Digital_KPL;93;0
10/31/2023;Digital_KPL;143;0
10/31/2023;Digital_KPL;108;0
10/31/2023;Digital_KPL;67;0
10/31/2023;Digital_KPL;100;0
10/31/2023;Digital_KPL;71;0
10/31/2023;Digital_KPL;37;0
10/31/2023;Digital_KPL;23;0
10/31/2023;Digital_KPL;80;0
10/31/2023;Digital_KPL;62;0
10/31/2023;Digital_KPL;118;0
10/31/2023;Digital_KPL;57;0
10/31/2023;Digital_RCL;1;0
10/31/2023;Digital_KPL;115;0
10/31/2023;Digital_KPL;152;0
10/31/2023;Digital_KPL;105;0
10/31/2023;Digital_KPL;24;0
10/31/2023;Digital_KPL;50;0
10/31/2023;Digital_KPL;55;0
10/31/2023;Digital_KPL;22;0
9/30/2023;Digital_AKL;9;0.000862503
9/30/2023;Digital_UDL;3;0
9/30/2023;Digital_KPL;91;0
9/30/2023;Digital_KPL;74;0
9/30/2023;Digital_KPL;68;0
9/30/2023;Digital_KPL;59;0
9/30/2023;Digital_KPL;33;0
9/30/2023;Digital_BCL;12;0.11165224
9/30/2023;Digital_KPL;57;0
9/30/2023;Digital_SPL;6;0.066407466
9/30/2023;Digital_KPL;62;0
9/30/2023;Digital_KPL;103;0
9/30/2023;Digital_AKL;2;0
9/30/2023;Digital_KPL;21;0
9/30/2023;Digital_RCL;3;8.12E-05
9/30/2023;Digital_KPL;175;0
9/30/2023;Digital_PYL;6;0
9/30/2023;Digital_KPL;178;0
9/30/2023;Digital_EAL;4;7.23E-05
9/30/2023;Digital_EML;36;0
9/30/2023;Digital_KPL;29;0
9/30/2023;Digital_KPL;13;0
9/30/2023;Digital_RCL;1;0
9/30/2023;Digital_KPL;55;0
9/30/2023;Digital_KPL;79;0
9/30/2023;Digital_KPL;60;0
9/30/2023;Digital_KPL;53;0
9/30/2023;Digital_KPL;54;0
9/30/2023;Digital_EML;14;0
9/30/2023;Digital_KPL;105;0
9/30/2023;Digital_KPL;19;0
9/30/2023;Digital_EML;25;0
7/31/2023;Digital_SPL;1;0.040176409
7/31/2023;Digital_KPL;152;0
7/31/2023;Digital_KPL;75;0
7/31/2023;Digital_SCL;12;0.104357952
7/31/2023;Digital_KPL;46;0
7/31/2023;Digital_KPL;67;0
7/31/2023;Digital_KPL;154;0
7/31/2023;Digital_KPL;143;0
7/31/2023;Digital_SCL;6;0.060421062
7/31/2023;Digital_KPL;139;0
7/31/2023;Digital_BCL;12;0.11298873
7/31/2023;Digital_RCL;4;0
7/31/2023;Digital_EML;48;0
7/31/2023;Digital_KPL;179;0
7/31/2023;Digital_SCL;3;0.024357422
7/31/2023;Digital_KPL;37;0
7/31/2023;Digital_KPL;19;0
7/31/2023;Digital_KPL;115;0
7/31/2023;Digital_KPL;42;0
7/31/2023;Digital_EML;16;0
7/31/2023;Digital_KPL;100;0
7/31/2023;Digital_EML;26;0
7/31/2023;Digital_KPL;12;0
7/31/2023;Digital_KPL;120;0
7/31/2023;Digital_KPL;99;0
7/31/2023;Digital_KPL;57;0
7/31/2023;Digital_KPL;82;0
7/31/2023;Digital_KPL;43;0
7/31/2023;Digital_PYL;24;0
7/31/2023;Digital_KPL;48;0
7/31/2023;Digital_KPL;94;0
7/31/2023;Digital_KPL;101;0
9/30/2023;Digital_EML;60;0
9/30/2023;Digital_EML;16;0
9/30/2023;Digital_KPL;49;0
9/30/2023;Digital_KPL;98;0
9/30/2023;Digital_SCL;3;0.027824859
9/30/2023;Digital_KPL;58;0
9/30/2023;Digital_EML;48;0
9/30/2023;Digital_KPL;72;0
9/30/2023;Digital_KPL;44;0
9/30/2023;Digital_KPL;100;0
9/30/2023;Digital_EML;21;0
9/30/2023;Digital_KPL;32;0
9/30/2023;Digital_KPL;139;0
9/30/2023;Digital_BCL;3;0.056246477
9/30/2023;Digital_KPL;140;0
9/30/2023;Digital_KPL;85;0
9/30/2023;Digital_KPL;104;0
9/30/2023;Digital_KPL;22;0
9/30/2023;Digital_EML;12;0
9/30/2023;Digital_KPL;96;0
9/30/2023;Digital_AKL;1;0
9/30/2023;Digital_EAL;6;0.000456087
9/30/2023;Digital_SCL;6;0.064511785
9/30/2023;Digital_PYL;18;0
9/30/2023;Digital_KPL;45;0
9/30/2023;Digital_KPL;35;0
9/30/2023;Digital_EML;28;0
9/30/2023;Digital_KPL;95;0
9/30/2023;Digital_KPL;48;0
9/30/2023;Digital_KPL;144;0
9/30/2023;Digital_KPL;24;0
9/30/2023;Digital_KPL;56;0
9/30/2023;Digital_KPL;69;0
9/30/2023;Digital_KPL;18;0
9/30/2023;Digital_KPL;12;0
9/30/2023;Digital_KPL;152;0
9/30/2023;Digital_KPL;116;0
9/30/2023;Digital_KPL;101;0
9/30/2023;Digital_KPL;20;0
9/30/2023;Digital_KPL;30;0
7/31/2023;Digital_SPL;24;0.000565931
7/31/2023;Digital_EML;12;0
7/31/2023;Digital_AKL;9;0
7/31/2023;Digital_AKL;6;0.000673256
7/31/2023;Digital_KPL;174;0
7/31/2023;Digital_KPL;180;0
7/31/2023;Digital_KPL;14;0
7/31/2023;Digital_KPL;47;0
7/31/2023;Digital_BCL;3;0.054183846
7/31/2023;Digital_KPL;35;0
7/31/2023;Digital_KPL;62;0
7/31/2023;Digital_RCL;2;1.07E-05
7/31/2023;Digital_AKL;2;0
7/31/2023;Digital_KPL;176;0
7/31/2023;Digital_AKL;3;0.000209479
7/31/2023;Digital_KPL;91;0
7/31/2023;Digital_KPL;177;0
7/31/2023;Digital_KPL;164;0
7/31/2023;Digital_KPL;32;0
7/31/2023;Digital_KPL;60;0
7/31/2023;Digital_KPL;65;0
7/31/2023;Digital_KPL;59;0
7/31/2023;Digital_KPL;130;0
7/31/2023;Digital_KPL;86;0
7/31/2023;Digital_KPL;21;0
7/31/2023;Digital_KPL;18;0
7/31/2023;Digital_KPL;58;0
7/31/2023;Digital_KPL;81;0
7/31/2023;Digital_KPL;55;0
7/31/2023;Digital_KPL;98;0
9/30/2023;Digital_SCL;12;0.108832391
9/30/2023;Digital_KPL;61;0
9/30/2023;Digital_PYL;12;0
9/30/2023;Digital_KPL;130;0
9/30/2023;Digital_PYL;24;0
9/30/2023;Digital_KPL;26;0
9/30/2023;Digital_SPL;24;0.021073961
9/30/2023;Digital_KPL;141;0
9/30/2023;Digital_KPL;65;0
9/30/2023;Digital_KPL;93;0
9/30/2023;Digital_RCL;2;4.57E-05
9/30/2023;Digital_KPL;102;0
9/30/2023;Digital_SPL;18;0.008135869
9/30/2023;Digital_AKL;6;0.001142906
9/30/2023;Digital_EML;26;0
9/30/2023;Digital_EAL;2;0
9/30/2023;Digital_KPL;36;0
9/30/2023;Digital_KPL;118;0
9/30/2023;Digital_KPL;83;0
9/30/2023;Digital_KPL;153;0
9/30/2023;Digital_KPL;177;0
9/30/2023;Digital_KPL;142;0
9/30/2023;Digital_EML;23;0
9/30/2023;Digital_KPL;117;0
9/30/2023;Digital_KPL;70;0
9/30/2023;Digital_EML;24;0
9/30/2023;Digital_KPL;180;0
